"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/CI+Group/data=!4m7!3m6!1s0x487ba510189fccaf:0x9eb2879589da0646!8m2!3d53.571751!4d-2.311855!16s%2Fg%2F1pxq991wy!19sChIJr8yfGBCle0gRRgbaiZWHsp4?authuser=0&hl=en&rclk=1","CI Group","4.9","(1,219)","Conservatory Contractor","·","Eton Hill Road","Closes soon","· 5 pm · Opens 11 am Sun","·","0800 180 4000","https://www.google.com/aclk?sa=L&ai=DChsSEwjV96Tto4mUAxW9o1AGHTTIGWMYACICCAEQAxoCZGc&ae=2&aspm=1&co=1&ase=2&gclid=CjwKCAjwzLHPBhBTEiwABaLsSolCdoPF5-ggKe4cH3CdhOmZyOdLyyp57pwy24C4TnS2qA3xOxI0IRoCd_sQAvD_BwE&cid=CAASugHkaI_srIesnPZDcLoqJeBaPCdU7DUT28oWycHf-P4WMJJHyG15lqts_k8PwPiTYom0nOsMJJczsTuM6obEsBtJf9_BZIAOVssFOWoybVR2QA3azMX8ZtKIEWdmPGW2oe9UCnH_IyHclTHYMyjGIOVHRsIqplDlYU_R4PNAknInGIMntM39eFgSSq5qWTelNxc1OaiZgp6old3qHlVUaYT7rK7oEBwmjf6Px2w9szYZeMKnhr0ITEEdH5I&cce=2&category=acrcp_v1_35&sig=AOD64_38P95dNDZYv1MYLd403poqFC3cYQ&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/alco+roofing+ltd/data=!4m7!3m6!1s0x487ba5db0885574f:0x7d7ac0a696894fc1!8m2!3d53.561055!4d-2.368853!16s%2Fg%2F11c1x3vnv_!19sChIJT1eFCNule0gRwU-JlqbAen0?authuser=0&hl=en&rclk=1","alco roofing ltd","5.0","(30)","Roofing Service","·","110a High Street","Closed","· Opens 8 am Mon","·","01204 706991","https://www.google.com/aclk?sa=L&ai=DChsSEwjV96Tto4mUAxW9o1AGHTTIGWMYACICCAEQABoCZGc&co=1&ase=2&gclid=CjwKCAjwzLHPBhBTEiwABaLsSkMOCuOCqtnFnrZpGjV0VTuK5UFdm8Fjcaa1GegKlrKG_i4Yx4PKrxoCPc4QAvD_BwE&cid=CAASugHkaI_srIesnPZDcLoqJeBaPCdU7DUT28oWycHf-P4WMJJHyG15lqts_k8PwPiTYom0nOsMJJczsTuM6obEsBtJf9_BZIAOVssFOWoybVR2QA3azMX8ZtKIEWdmPGW2oe9UCnH_IyHclTHYMyjGIOVHRsIqplDlYU_R4PNAknInGIMntM39eFgSSq5qWTelNxc1OaiZgp6old3qHlVUaYT7rK7oEBwmjf6Px2w9szYZeMKnhr0ITEEdH5I&cce=2&category=acrcp_v1_32&sig=AOD64_3Ha4K6f18m9T-TnDUVe4FgBsZagw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/MANCHESTER+ROOFS+LTD/data=!4m7!3m6!1s0x487bb0887b2a8fad:0x268a2352bfb39fe0!8m2!3d53.5316558!4d-2.2135884!16s%2Fg%2F11vwm6x4cr!19sChIJrY8qe4iwe0gR4J-zv1IjiiY?authuser=0&hl=en&rclk=1","MANCHESTER ROOFS LTD","5.0","(107)","Roofing contractor","·","180 Hill Ln","Open 24 hours","·","","+44 161 390 0436","http://manchesterroofs.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Manchester roofs did an outstanding job on our","roof","replacement!"""
"https://www.google.com/maps/place/Manchester+Roofing+Contractors+Ltd/data=!4m7!3m6!1s0x487bb1abac1457c9:0xcb562190d43be0cb!8m2!3d53.4764313!4d-2.2504824!16s%2Fg%2F11kb5l864h!19sChIJyVcUrKuxe0gRy-A71JAhVss?authuser=0&hl=en&rclk=1","Manchester Roofing Contractors Ltd","5.0","(25)","Roofing contractor","·","275 Deansgate","Open 24 hours","·","","+44 161 401 4042","https://manchesterroofingcontractorsltd.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The team was prompt, professional, and did a neat, efficient job.""","",""
"https://www.google.com/maps/place/K.H.+Roofing/data=!4m7!3m6!1s0x487bb137635bfbcd:0x3779e4f782253dbe!8m2!3d53.4428099!4d-2.2847384!16s%2Fg%2F11qq0d2t2q!19sChIJzftbYzexe0gRvj0lgvfkeTc?authuser=0&hl=en&rclk=1","K.H. Roofing","5.0","(132)","Roofing contractor","·","Regency Court","Open","·","· Closes 7 pm","+44 161 825 7408","http://www.khroofs.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did a fantastic job of retiling our","roof","and renewing our flat roofs."""
"https://www.google.com/maps/place/LC+Roofing+%E2%80%94+Manchester+Roof+Repairs/data=!4m7!3m6!1s0x41deef0ab98893b7:0x25eceb173bf77aca!8m2!3d53.4785606!4d-2.219112!16s%2Fg%2F11vxgc32mr!19sChIJt5OIuQrv3kERynr3Oxfr7CU?authuser=0&hl=en&rclk=1","LC Roofing — Manchester Roof Repairs","5.0","(71)","Roofing contractor","·","3 Advent Way","Open 24 hours","·","","+44 161 327 2403","https://www.manchesterroofrepairs.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""​Lee and his team resolved my","roof","leak in a single day."""
"https://www.google.com/maps/place/DM+Roofing/data=!4m7!3m6!1s0x487bb13959396c87:0x581f7074b3e7f47!8m2!3d53.4840264!4d-2.1784386!16s%2Fg%2F1vvyxmr1!19sChIJh2w5WTmxe0gRR38-Swf3gQU?authuser=0&hl=en&rclk=1","DM Roofing","4.6","(96)","Roofing contractor","·","17 Tottington St","Open","·","· Closes 8 pm","+44 7792 703612","http://www.dm4roofingmanchester.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional services top quality and fairly priced""","",""
"https://www.google.com/maps/place/Manchester+roofing+repairs+ltd/data=!4m7!3m6!1s0x487bb1f92cb0e553:0x1f70674dcd30c591!8m2!3d53.4586908!4d-2.1853956!16s%2Fg%2F11x33x1cq3!19sChIJU-WwLPmxe0gRkcUwzU1ncB8?authuser=0&hl=en&rclk=1","Manchester roofing repairs ltd","5.0","(50)","Roofing contractor","·","78 Shelford Ave","Open 24 hours","·","","+44 7464 975671","http://manchesterroofingrepairsltd.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Chris is an excellent","roofing","expert—responsive, reliable, and trustworthy."""
